type,message
应对八卦,啊？这也太那个了吧
应对八卦,太过分了
应对八卦,咋这样啊
应对八卦,这叫啥事儿啊
应对八卦,这人也真是
应对八卦,呦！怎么回事？
应对八卦,怎么能这样！
应对八卦,你要唠这个，我课就不困了
应对牢骚,咋会这样呢
应对牢骚,对对对
应对牢骚,好家伙。
应对牢骚,说得是啊！
应对牢骚,谁说不是呀！
应对牢骚,振作点儿！
应对牢骚,真过意不去
应对牢骚,好说，好说
应对牢骚,这叫什么事呀？
应对牢骚,简直难以想象
应对牢骚,有道理。
应对牢骚,我也这么觉得。
应对牢骚,好事多磨嘛。
应对牢骚,我都替你生气
应对牢骚,抱抱我的宝贝
应对牢骚,太生气了
应对牢骚,我也生气了
应对牢骚,咋欺负人呢
应对牢骚,不气不气抱抱
应对牢骚,过分
应对牢骚,哎，摸摸
应对牢骚,摸摸头
应对牢骚,抱抱
应对牢骚,太惨了
应对牢骚,就是啊！
应对牢骚,生活不如你意，我如你意
应对牢骚,好运不在你身边，我在你身边
应对牢骚,现在的情况确实挺糟的，你这么想也正常
应对牢骚,这些事确实太难了
应对牢骚,但是以前你都能挺过来，这次我相信你也可以
应对牢骚,好听的话别当真，难过的话别上心
应对牢骚,在我这里，你永远可以做自己
应对牢骚,哇我也好讨厌这种人
应对牢骚,没有什么是一顿火锅解决不了的
应对牢骚,连你都这么说，还让不让别人活了
万能句式,WOW
万能句式,确实
万能句式,确实如此
万能句式,可以的
万能句式,厉害了
万能句式,我都行
万能句式,随便你
万能句式,太棒了
万能句式,蛮好的
万能句式,不错子
万能句式,你知道我多想成为你吗？
万能句式,别见外。
万能句式,啊这
万能句式,生活嘛
万能句式,人嘛
万能句式,牛啤！
万能句式,那也是
万能句式,我觉得也是
万能句式,好问题
万能句式,笑死
应对吹牛,真的吗？好厉害啊！
应对吹牛,是吗？
应对吹牛,嘿！好嘛！
应对吹牛,对对对
应对吹牛,厉害了
应对吹牛,不愧是你
应对吹牛,还是你厉害，我就不行
应对吹牛,多想成为你这样的人啊
应对吹牛,哇，厉害，我要像你这样优秀就好了
应对吹牛,真有一套啊
应对闲聊,你不上班吗？
应对闲聊,上班不忙吗？
应对闲聊,你很无聊吗？
应对闲聊,最记很闲？
应对闲聊,表现不错。
应对闲聊,累了？要打起精神来。
